origen,destino,tipo,relacion_original,negada,documento_id,documento_fecha,frase_evidencia
Presidente,Secretario Relator,SOLICITA,SOLICITA,False,1857,1982-02-25,"Después de una breve confrontación con el Presidente y Secretario relator, sobre la extensión de lo solicitado, éste inició la lectura de aquellos ---apartados de las Hojas que sucesivamente le marcaba el defensor Sr."
Presidente,Secretario Relator,MENCIONA,MENCIONA,False,1857,1982-02-25,"Después de una breve confrontación con el Presidente y Secretario relator, sobre la extensión de lo solicitado, éste inició la lectura de aquellos ---apartados de las Hojas que sucesivamente le marcaba el defensor Sr."
Defensor,General Armada,SOLICITA,SOLICITA,False,1857,1982-02-25,"HERMOSILLA (defensor del General ARMADA) solicitando también la lectura de otras declaraciones que figuran en el Anexo, suspendiéndose la vista a las 18'06, hasta el viernes día 26 a las 10'00 horas."
DOC_1857,General Armada,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
Congreso,Radio,CONOCE,CONOCE,False,1857,1982-02-25,Conoce los hechos del Congreso por la radio.
DOC_1857,Congreso,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
DOC_1857,Radio,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
23 De Febrero,Tenientes,INFORMA,INFORMA_A,False,1857,1982-02-25,- Declaraciones de los Tenientes Coroneles GUERRI y SANTOS: Son informados a las 10'30 horas del 23 de Febrero.
DOC_1857,23 De Febrero,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
DOC_1857,Tenientes,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
Capitán,Teniente General Milans Del Bosch,ORDENA,RECIBE_ORDEN,False,1857,1982-02-25,- Declaraciones del Capitán de Navio NIETO: Se pone a las órdenes del Teniente General MILANS DEL BOSCH.
DOC_1857,Capitán,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
Coronel Escandell,El Mando,COLABORA,COLABORA,False,1857,1982-02-25,- Declaraciones del Teniente Coronel LOPEZ CUADRA: Confirma que civiles colaboran con el mando militar.
DOC_1857,El Mando,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
23 De Febrero,El Mando,COLABORA,COLABORA,False,1857,1982-02-25,El General ARMADA colaboró estrechamente con el Mando el día 23 de Febrero.
23 De Febrero,General Armada,COLABORA,COLABORA,False,1857,1982-02-25,El General ARMADA colaboró estrechamente con el Mando el día 23 de Febrero.
El Mando,General Armada,COLABORA,COLABORA,False,1857,1982-02-25,El General ARMADA colaboró estrechamente con el Mando el día 23 de Febrero.
Coronel Escandell,General Aramburu,ORDENA,RECIBE_ORDEN,False,1857,1982-02-25,"- Declaración del General ARAMBURU: Propusó al General ARMADA como negociador por indicar el Teniente Coronel TEJERO que sólo recibiría órdenes de S.M., del Teniente General MILANS DEL BOSCH o del General ARMADA."
DOC_1857,General Aramburu,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
Coronel Escandell,General Aramburu,PROPONE,PROPONE,False,1857,1982-02-25,"- Declaración del General ARAMBURU: Propusó al General ARMADA como negociador por indicar el Teniente Coronel TEJERO que sólo recibiría órdenes de S.M., del Teniente General MILANS DEL BOSCH o del General ARMADA."
Coronel Escandell,General Armada,ORDENA,RECIBE_ORDEN,False,1857,1982-02-25,"- Declaración del General ARAMBURU: Propusó al General ARMADA como negociador por indicar el Teniente Coronel TEJERO que sólo recibiría órdenes de S.M., del Teniente General MILANS DEL BOSCH o del General ARMADA."
Coronel Escandell,General Armada,PROPONE,PROPONE,False,1857,1982-02-25,"- Declaración del General ARAMBURU: Propusó al General ARMADA como negociador por indicar el Teniente Coronel TEJERO que sólo recibiría órdenes de S.M., del Teniente General MILANS DEL BOSCH o del General ARMADA."
Coronel Escandell,Teniente General Milans Del Bosch,ORDENA,RECIBE_ORDEN,False,1857,1982-02-25,"- Declaración del General ARAMBURU: Propusó al General ARMADA como negociador por indicar el Teniente Coronel TEJERO que sólo recibiría órdenes de S.M., del Teniente General MILANS DEL BOSCH o del General ARMADA."
Coronel Escandell,Teniente General Milans Del Bosch,PROPONE,PROPONE,False,1857,1982-02-25,"- Declaración del General ARAMBURU: Propusó al General ARMADA como negociador por indicar el Teniente Coronel TEJERO que sólo recibiría órdenes de S.M., del Teniente General MILANS DEL BOSCH o del General ARMADA."
General Aramburu,General Armada,ORDENA,RECIBE_ORDEN,False,1857,1982-02-25,"- Declaración del General ARAMBURU: Propusó al General ARMADA como negociador por indicar el Teniente Coronel TEJERO que sólo recibiría órdenes de S.M., del Teniente General MILANS DEL BOSCH o del General ARMADA."
General Aramburu,General Armada,PROPONE,PROPONE,False,1857,1982-02-25,"- Declaración del General ARAMBURU: Propusó al General ARMADA como negociador por indicar el Teniente Coronel TEJERO que sólo recibiría órdenes de S.M., del Teniente General MILANS DEL BOSCH o del General ARMADA."
General Aramburu,Teniente General Milans Del Bosch,ORDENA,RECIBE_ORDEN,False,1857,1982-02-25,"- Declaración del General ARAMBURU: Propusó al General ARMADA como negociador por indicar el Teniente Coronel TEJERO que sólo recibiría órdenes de S.M., del Teniente General MILANS DEL BOSCH o del General ARMADA."
General Aramburu,Teniente General Milans Del Bosch,PROPONE,PROPONE,False,1857,1982-02-25,"- Declaración del General ARAMBURU: Propusó al General ARMADA como negociador por indicar el Teniente Coronel TEJERO que sólo recibiría órdenes de S.M., del Teniente General MILANS DEL BOSCH o del General ARMADA."
General Armada,Teniente General Milans Del Bosch,ORDENA,RECIBE_ORDEN,False,1857,1982-02-25,"- Declaración del General ARAMBURU: Propusó al General ARMADA como negociador por indicar el Teniente Coronel TEJERO que sólo recibiría órdenes de S.M., del Teniente General MILANS DEL BOSCH o del General ARMADA."
General Armada,Teniente General Milans Del Bosch,PROPONE,PROPONE,False,1857,1982-02-25,"- Declaración del General ARAMBURU: Propusó al General ARMADA como negociador por indicar el Teniente Coronel TEJERO que sólo recibiría órdenes de S.M., del Teniente General MILANS DEL BOSCH o del General ARMADA."
Coronel Escandell,Teniente General Milans Del Bosch,ORDENA,RECIBE_ORDEN,False,1857,1982-02-25,"- El Teniente Coronel TEJERO sólo recibe órdenes del Teniente General MILANS DEL BOSCH, y del Rey por conducto de éste."
23 De Febrero,Consejo Supremo De Justicia Militar,MENCIONA,MENCIONA,False,1857,1982-02-25,"Los Generales, Jefes y Oficiales procesados por los sucesos - del 23 de febrero se han negado a comparecer ante el Consejo Supremo de Justicia Militar, constituido en Sala de Justicia, en tanto asistan a las sesiones corresponsales de un diario que recoge en - sus páginas un claro y grave insulto a la dignidad de un Oficial - del Ejército Español, a menos que se les dé una reparación que consideren suficiente."
DOC_1857,Consejo Supremo De Justicia Militar,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
