documento_id,documento_titulo,documento_url,documento_fecha,entidad_1,relacion,negada,entidad_2,frase_evidencia
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,El Mando,SOLICITA,False,Reales Ordenanzas,"Añadían que consideraban tener derecho a ser amparados por el Mando a este respecto, a tenor de lo establecido en las Reales Ordenanzas y solicitaban que por la Sala se adoptaran las medidas oportunas para retirar las acreditaciones de/los representantes del diario en cuestión."
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,La Sala,SOLICITA,False,Reales Ordenanzas,"Añadían que consideraban tener derecho a ser amparados por el Mando a este respecto, a tenor de lo establecido en las Reales Ordenanzas y solicitaban que por la Sala se adoptaran las medidas oportunas para retirar las acreditaciones de/los representantes del diario en cuestión."
1857,Vista oral 2/81 del Consejo Supremo de Justicia Militar (25 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1857,1982-02-25,Coronel Escandell,SOLICITA,False,Defensor,"Al reanudarse la sesión, el Coronel ESCANDELL (defensor del Teniente General MILANS DEL BOSCH y del Coronel IBAÑEZ) solicitó la lectura de la declaración del Teniente General GUTIERREZ MELLADO -y de las Hojas de Servicios de sus defendidos."
1857,Vista oral 2/81 del Consejo Supremo de Justicia Militar (25 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1857,1982-02-25,Coronel Escandell,MENCIONA,False,Defensor,"Al reanudarse la sesión, el Coronel ESCANDELL (defensor del Teniente General MILANS DEL BOSCH y del Coronel IBAÑEZ) solicitó la lectura de la declaración del Teniente General GUTIERREZ MELLADO -y de las Hojas de Servicios de sus defendidos."
1857,Vista oral 2/81 del Consejo Supremo de Justicia Militar (25 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1857,1982-02-25,Coronel Escandell,SOLICITA,False,Teniente General Milans Del Bosch,"Al reanudarse la sesión, el Coronel ESCANDELL (defensor del Teniente General MILANS DEL BOSCH y del Coronel IBAÑEZ) solicitó la lectura de la declaración del Teniente General GUTIERREZ MELLADO -y de las Hojas de Servicios de sus defendidos."
1857,Vista oral 2/81 del Consejo Supremo de Justicia Militar (25 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1857,1982-02-25,Coronel Escandell,MENCIONA,False,Teniente General Milans Del Bosch,"Al reanudarse la sesión, el Coronel ESCANDELL (defensor del Teniente General MILANS DEL BOSCH y del Coronel IBAÑEZ) solicitó la lectura de la declaración del Teniente General GUTIERREZ MELLADO -y de las Hojas de Servicios de sus defendidos."
1857,Vista oral 2/81 del Consejo Supremo de Justicia Militar (25 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1857,1982-02-25,Defensor,SOLICITA,False,Teniente General Milans Del Bosch,"Al reanudarse la sesión, el Coronel ESCANDELL (defensor del Teniente General MILANS DEL BOSCH y del Coronel IBAÑEZ) solicitó la lectura de la declaración del Teniente General GUTIERREZ MELLADO -y de las Hojas de Servicios de sus defendidos."
1857,Vista oral 2/81 del Consejo Supremo de Justicia Militar (25 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1857,1982-02-25,Defensor,MENCIONA,False,Teniente General Milans Del Bosch,"Al reanudarse la sesión, el Coronel ESCANDELL (defensor del Teniente General MILANS DEL BOSCH y del Coronel IBAÑEZ) solicitó la lectura de la declaración del Teniente General GUTIERREZ MELLADO -y de las Hojas de Servicios de sus defendidos."
1857,Vista oral 2/81 del Consejo Supremo de Justicia Militar (25 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1857,1982-02-25,Defensor,SOLICITA,False,Presidente,"Después de una breve confrontación con el Presidente y Secretario relator, sobre la extensión de lo solicitado, éste inició la lectura de aquellos ---apartados de las Hojas que sucesivamente le marcaba el defensor Sr."
1857,Vista oral 2/81 del Consejo Supremo de Justicia Militar (25 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1857,1982-02-25,Defensor,MENCIONA,False,Presidente,"Después de una breve confrontación con el Presidente y Secretario relator, sobre la extensión de lo solicitado, éste inició la lectura de aquellos ---apartados de las Hojas que sucesivamente le marcaba el defensor Sr."
1857,Vista oral 2/81 del Consejo Supremo de Justicia Militar (25 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1857,1982-02-25,Defensor,SOLICITA,False,Secretario Relator,"Después de una breve confrontación con el Presidente y Secretario relator, sobre la extensión de lo solicitado, éste inició la lectura de aquellos ---apartados de las Hojas que sucesivamente le marcaba el defensor Sr."
